task_id,task_name,task_definition_key,vx_type,task_status,is_excluded,exclude_reason,start_date,claim_time,end_time,status_weekly
25bc3eb5-e530-11f0-b810-6e40e3e6024a,3.5.1.2.9 QA Prepares Revised Resources,V3_5_1_2_9,V3,DOING,0,,2025-12-30,2025-12-30 13:14:07,1970-01-01 00:00:00,DOING
2f61baaf-e530-11f0-833b-1a66a98ce176,3.5.1.2.9 QA Prepares Revised Resources,V3_5_1_2_9,V3,DOING,0,,2025-12-30,2025-12-30 13:14:01,1970-01-01 00:00:00,DOING
337371ba-e530-11f0-bf7b-965e190dd3fa,3.5.1.2.9 QA Prepares Revised Resources,V3_5_1_2_9,V3,DOING,0,,2025-12-30,2025-12-30 13:13:54,1970-01-01 00:00:00,DOING
384a7531-e530-11f0-b810-6e40e3e6024a,3.5.1.2.9 QA Prepares Revised Resources,V3_5_1_2_9,V3,DOING,0,,2025-12-30,2025-12-30 13:13:48,1970-01-01 00:00:00,DOING
3c6a0fe0-e530-11f0-b91f-f260ad480fb9,3.5.1.2.9 QA Prepares Revised Resources,V3_5_1_2_9,V3,DOING,0,,2025-12-30,2025-12-30 13:13:41,1970-01-01 00:00:00,DOING
5168fb02-e47b-11f0-b810-6e40e3e6024a,3.5.1.10.6 MFG Receives Auxiliary Materials,V3_5_1_10_6,V3,DONE,0,,2025-12-29,2025-12-29 13:59:04,2026-01-06 15:43:02,DOING
5d84e347-e61f-11f0-811d-0a4b28ca86c6,3.5.1.2.9 QA Prepares Revised Resources,V3_5_1_2_9,V3,DOING,0,,2025-12-31,2025-12-31 17:24:44,1970-01-01 00:00:00,DOING
5f7038d2-e61f-11f0-811d-0a4b28ca86c6,3.5.1.2.5 TE(PE) Prepare to change the fixture,V3_5_1_2_5,V3,DONE,0,,2025-12-31,2025-12-31 16:07:59,2026-01-05 08:51:50,DOING
61a69e17-e4dd-11f0-b91f-f260ad480fb9,3.5.2.6.3 ME(PE) Replace & Add Auxiliary Materials,V3_5_2_6_3,V3,DONE,0,,2025-12-30,2025-12-30 17:22:14,2026-01-05 16:57:54,DOING
66f828e5-e4dd-11f0-b24f-5e140ac69200,3.5.2.6.3 ME(PE) Replace & Add Auxiliary Materials,V3_5_2_6_3,V3,DONE,0,,2025-12-30,2025-12-30 17:22:14,2026-01-05 16:52:32,DOING
88dcb572-e48e-11f0-bf7b-965e190dd3fa,3.5.2.6.3 ME(PE) Replace & Add Auxiliary Materials,V3_5_2_6_3,V3,DONE,0,,2025-12-29,2025-12-30 17:22:14,2026-01-05 16:51:33,DOING
9a1764b9-e47b-11f0-b91f-f260ad480fb9,3.5.1.7.4 MFG Analyzes Auxiliary Material Requirements,V3_5_1_7_4,V3,DONE,0,,2025-12-29,2025-12-29 14:00:53,2026-01-06 15:39:01,DOING
aee5de8b-e52b-11f0-833b-1a66a98ce176,3.5.1.1.2 ME Generate fixture requirements,V3_5_1_1_2,V3,DONE,0,,2025-12-30,2025-12-30 17:22:13,2026-01-05 16:48:38,DOING
af375a3a-e52b-11f0-833b-1a66a98ce176,3.5.1.1.11 Obtain historical negative information,V3_5_1_1_11,V3,DOING,0,,2025-12-30,2025-12-30 13:15:01,1970-01-01 00:00:00,DOING
aff1d055-e52b-11f0-833b-1a66a98ce176,3.5.1.1.4 ME generates equipment/formula requirements,V3_5_1_1_4,V3,DONE,0,,2025-12-30,2025-12-30 17:22:08,2026-01-05 16:50:50,DOING
affbc326-e489-11f0-b24f-5e140ac69200,3.5.3.2.1 Produce First Article,V3_5_3_2_1,V3,DONE,0,,2025-12-29,2025-12-29 15:55:12,2026-01-06 05:01:13,DOING
b03bd1fd-e52b-11f0-833b-1a66a98ce176,3.5.2.1.13 QC Generate Product Validation Plan,V3_5_2_1_13,V3,DOING,0,,2025-12-30,2025-12-30 13:15:01,1970-01-01 00:00:00,DOING
b06ca53a-e52b-11f0-833b-1a66a98ce176,3.5.2.1.12 ME Generate Process Validation Plan,V3_5_2_1_12,V3,DONE,0,,2025-12-30,2025-12-30 17:22:07,2026-01-05 15:12:35,DOING
